功夫3D	功夫
勒诺·杜兰和哈罗德·莫里斯收藏的重要文物和私人物件,包括书籍、街头时尚和珠宝	勒诺·杜兰和哈罗德·莫里斯收藏的重要文物和私人物件，包括书籍、街头时尚和珠宝
三言两拍之玉堂春	玉堂春
赎妓	三言两拍之卖油郎
生死搜救	生死时刻
12猛汉(台)	12勇士
12壮士(港)	12勇士
骑兵团	12勇士
马背上的战士	12勇士
大內密探靈靈狗	大内密探灵灵狗
刑警张玉贵第一部	刑警张玉贵
刑警张玉贵1	刑警张玉贵
春风沉醉的晚上	春风沉醉的夜晚
春热	春风沉醉的夜晚
“王子”雄兵	王子雄兵
新倩女幽魂	倩女幽魂
聊斋之倩女幽魂	倩女幽魂
倩女幽魂2011	倩女幽魂
老城旧事	刺青怨
这个杀手不眨眼3	整七十码
崛起	崛起———5·12四川抗震救灾启示录
東邪西毒終極版	东邪西毒：终极版
8点35分	八点三十五分
少年星海	星海
前方，后方	前方后方
前方·后方	前方后方
兰草	我们天上见
伞	我们天上见
蘇乞兒	苏乞儿
真实的传奇	苏乞儿
香格里拉的野马	命悬800公里
法国电影学院短片  当爱变成习惯	当爱变成习惯
帕尔扎特格	铂格
让子弹飞一会儿	让子弹飞
火烧云	让子弹飞
刺杀毛泽东	旭日惊雷
神医安道全	碧瑶霜迷案
龙凤呈祥	石榴树上结樱桃
老耿的故事	油菜花开
晚安，科伦坡	晚安·科伦坡
兄弟	兄弟（two
我們	我们
红河劫	铜鼓
长江七号爱地球	长江7号爱地球
长江7号：动画版	长江7号爱地球
歲月神偷	岁月神偷
1969太空漫游	岁月神偷
精武风云	精武风云·陈真
夜行侠陈真	精武风云·陈真
陈真：精武风云	精武风云·陈真
友谊路	下一站
央视版马兰花	马兰花
电视电影马兰花	马兰花
06版马兰花	马兰花
叠影追凶	拉尔复仇记
极速先锋	拉尔复仇记
动画版白鹿原	麋鹿王
花田囍事2010	花田喜事2010
独生子	独生子，向上向下向左向右向前向后
剑雨江湖	剑雨
一代宗師	一代宗师
一代宗师3D	一代宗师
一代宗师终极版	一代宗师
杀手：代号47 II	杀手：代号47
唐吉可德	魔侠传之唐吉可德
童雨	童雨
航城	航行城市
借室还魂	等着你回来
力王	力王之黑色擂台
火车站旁边的红泥屋	红泥屋
火线追凶7	火线追凶之狂魔再现
火线追凶4	火线追凶之突然死亡
火线追凶6	火线追凶之惊魂宴
中英街	无言的界碑
水行侠(港	海王
台)	海王
潜水侠	海王
水人	海王
人鱼哥(豆友译名)	海王
撕裂的记忆 （HOLES）	撕裂的记忆
毛泽东与军规	第一军规
成都我爱你（下）	过去未来
兄弟新传之黑白之战	决战枭雄
超级拳霸	宝贝双龙
战龙	宝贝双龙
冲出亚洲	她来自台北
燃烧的生命	燃燒生命
广州大道	广州大道向南
火龙	火龙对决
恋上白骨精	终极匹配
链上“白骨精”	终极匹配
通緝犯	通缉犯
讲述艾滋病感染者的故事	我们的生活
放飞	放飞自由
色劫	早安北京
月光光新慌慌(台)	月光光心慌慌
万圣节归来	月光光心慌慌
万圣节11	月光光心慌慌
老丁的春天	前妻
天长地久	80'后
天长地久之伤害	80'后
分开我们就坠落	80'后
古镇	小镇
天梯	云上学堂
一个巨星的诞生(台)	一个明星的诞生
星梦情深(港)	一个明星的诞生
无名电影	欠债还情
全城热恋热辣辣	全城热恋
热辣辣	全城热恋
血债	赤色危机
赤色追击	赤色危机
徐海东血战町店	徐海东喋血町店
喜羊羊与灰太狼2之虎胆羊威(港)	喜羊羊与灰太狼之虎虎生威
喜羊羊与灰太狼2：虎虎生威	喜羊羊与灰太狼之虎虎生威
四大名捕	西风烈
Vertical Farm垂直牧场	垂直牧场
奥运总动员	大厨小兵
猫踢娜娜	猫科大战
三进士	八珍汤
寻儿记	八珍汤
水浒人物谱之拼命三郎石秀	拼命三郎石秀
那一年在西藏(台)	西藏往事
那一年我们在西藏	西藏往事
在金矿打工的人	掘金
B+偵探	B+侦探
虹猫蓝兔之功夫天音寺	虹猫蓝兔火凤凰
線人	线人
证人2之线人	线人
雪花与秘扇(台)	雪花秘扇
雪花和神秘的扇子	雪花秘扇
我和猫的故事	校园的猫
亲民院长王天祥	百姓法官
欲望背后	股市情潮
黑股	股市情潮
映红山村的桃花	樱桃
山楂树	山楂树之恋
天籁：一万年以后	一万年以后
痞子英雄	痞子英雄之全面开战
痞子英雄电影版	痞子英雄之全面开战
痞子英雄首部曲：全面开战	痞子英雄之全面开战
痞子英雄1：全面开战	痞子英雄之全面开战
无分布	妈妈别走
澳門往事	澳门往事
明清最大商帮的财富之道	大儒徽商
歌舞青春中国版	歌舞青春
唐伯虎点秋香2	唐伯虎点秋香2之四大才子
小树的夏天 LOVE MIME	小树的夏天
横财险路	一夜富贵
今日涨停	三利股份
欢乐英雄	情陷
鸿门宴	王的盛宴
近在咫尺	近在咫尺的爱恋
大醉侠	伏虎擒恶
玫瑰和他印在墙上的影子	少年
上海 蓝	上海
12生肖	十二生肖
生肖传说	十二生肖
飞鹰计划3	十二生肖
成龙计划	十二生肖
铠甲勇士	铠甲勇士之帝皇侠
铠甲勇士之皇帝侠	铠甲勇士之帝皇侠
畫皮Ⅱ	画皮2
转生术(台)	画皮2
画皮II	画皮2
移动城市：致命引擎(港	掠食城市
台)	掠食城市
牵引城市	掠食城市
致命引擎	掠食城市
掠食城市：致命引擎	掠食城市
星原战记	太空历险记
风花雪月	一场风花雪月的事
汶川纪录片：为了生命	为了生命
侠侣探案	侠侣探案系列之古刹怪佛
抱抱俏佳人	完美嫁衣
败犬多情	完美嫁衣
凹凸情人	完美嫁衣
不省心	非诚勿扰2
三言二拍之毒中毒	毒中毒
三言两拍之珍珠衫	珍珠衫
舞潮	舞女
巴颜喀拉的雪	喇叭裤飘荡在一九八三
追赶太阳的人	追赶太阳的人们
热血黄昏	如血黄昏
黑色河流	眷恋
財神到	财神到
台风	云娜
黑猫警长	黑猫警长电影版
黑猫警长2010电影版	黑猫警长电影版
戀愛達人	恋爱达人
开国元勋的夫人们	忠贞
爱情三十六计	爱情36计
摇摆的婚约	摇摆de婚约
玩转大明星	恋爱通告
財神客棧	财神客栈
我的天空	爱出色
留守童年	守护童年
新版大力水手	大力水手
大力水手 2013	大力水手
向快乐出发	新来的李老师
人狗奇缘2	心心历险记
美丽人生	不再让你孤单
夢の壁	梦墙
雨打芭蕉	古镇情缘
燃2	燃2之铁三角
儿子、媳妇和老娘	儿子媳妇和老娘
英雄少年赖宁	赖宁
子夜闪光	真凶疑云
白桦树的眼睛	腊月雪
诸子百家新年特别版	秦时明月之一舞倾城
五年级四班	孩子那些事儿
孩子那些事	孩子那些事儿
魁拔	魁拔之十万火急
我愛湖人	我爱湖人
欲望之街	欲望之途
爱·给予	恍若人生
爱心树	恍若人生
守望者	守望者：罪恶迷途
迷失的刀郎(豆友译名)	关云长
北纬31度的录像带	北纬31°录像带
武林外传电影版	武林外传
阿拉甲	阿拉甲神灯
历程	美的历程
上海世博中国馆主展影片	美的历程
常德大血战	喋血孤城
卫战	喋血孤城
意大利·佛罗伦萨 Tour Around The World  Florence-Italy	环游世界
寰宇地理之战争启示录	寰宇地理之二战启示录
撒谎的村庄	宝贵的秘密
荒原惊情	惊情
大型音乐舞蹈史诗电影《复兴之路》	复兴之路
-  天然地貌博物馆	龙门山
魔术外传	最爱
魔术时代	最爱
罪爱	最爱
武林笑传	嘻游记
纪录片《老族谱》	老族谱
索达吉堪布放生纪行	慈悲之旅
芳心大盗	我知女人心
萨维奇博士	奇兵勇士
社区民警的故事	我在胡同当片警
东方的承诺2	尸体交错
大汉风之大风起兮	大风起兮
上海滩之新报仇	新报仇
三国·荆州	影
荆州保卫战	影
黄了一个来月(豆友译名)	失恋33天
撒娇的女人最好命	撒娇女人最好命
会撒娇的女人最好命	撒娇女人最好命
母狗	花
婊子	花
潇洒走一回	顽皮小子历险记
廬山風雲	庐山风云
旧照片	川川和洋洋
北京深秋的故事	燃烧的欲望
蔡李佛拳2010	蔡李佛拳
将爱 电影版	将爱情进行到底
对你爱爱爱不完(豆友取名)	将爱情进行到底
水浒人物谱之母大虫顾大嫂	母大虫顾大嫂
我们曾经的秘密基地	忘了吗，我们曾经的秘密基地
世博冠军湖丝仔	世博总动员
谁说玻璃不是镜子	你是我的谁呀
抗战三部曲第二部之岁岁清明	岁岁清明
静电影《初见》篇章一《停滞的时光》	初见：停滞的时光
大魔術師	大魔术师
天仙奇缘	大话天仙
春天关不住	传真女孩
