功夫3D	功夫
高污禁欲系少女	高禁系少女
游戏夜杀必死(台)	游戏之夜
今晚玩救你(港)	游戏之夜
黑水	深海越狱
玩大啦	垫底联盟
梦春记之古墓迷情	梦春记
换心	梦春记
死神春风	梦春记
撩妹时光机	梦春记
重庆之恋	骑摩托的青蛙
边境杀手	血战边境线
紅樓夢	红楼梦
同志版红楼梦	红楼梦
宝贝不哭之麦豆的夏天	麦豆的夏天
比基尼2-银河少女	银河少女
小戏骨：三国演义	小戏骨：放开那三国
小戏骨之三国演义	小戏骨：放开那三国
小戏骨：三国篇	小戏骨：放开那三国
老少咸宜之完美攻略	完美攻略
坑蒙拐骗偷	疯狂的彩票
缝隙世界	所罗的梦境之门
巴斯特民谣	巴斯特·斯克鲁格斯的歌谣
巴斯特的歌谣	巴斯特·斯克鲁格斯的歌谣
西部老巴的故事(台)	巴斯特·斯克鲁格斯的歌谣
细说当年话西部(港)	巴斯特·斯克鲁格斯的歌谣
魔咒之辣妹男神	魔咒
咏春侠奇遇超级女神	咏春侠
好极了	大世界
罗本的反击	老司机
灵瞳	异闻录之灵瞳
吃不了兜着走之港城风云	港城风云
陌上花开可缓缓归矣	陌上花开
网红主播之惊魂夜诱	网红魅影
诡案组Ⅱ	诡案组之骷髅碟仙
烈日军火库	僵尸军火库
情书	小情书
安娜与末世	安娜和世界末日
死亡来电	恐怖游戏之死亡来电
日月星辰	老兽
老混蛋	老兽
小哈皮	离散的范畴
津门八卦掌	百家拳之津门八卦掌
奇异兄弟	怪才兄弟
Hello 白小姐	我的蛇精女友
萬水千山縱橫	逆流大叔
赤裸青春	折翼的候鸟
男孩爱最大(台)	星期六的教堂
灵魂摆渡3 剧场版	灵魂摆渡之风华绝代
灵魂摆渡3 SP	灵魂摆渡之风华绝代
智能天使250	智能天使
留住醉后一首歌(台)	布雷兹
出走(台)	痼习之地
变节记(港)	痼习之地
聖女奇緣	女人永远是对的
缘分天注定	女人永远是对的
圣女奇缘之槟城恋战	女人永远是对的
阴阳路之常在你左右	常在你左右
探秘历史	国宝档案特别篇
恶人之无人过境	无人过境
大话天竺	西游记之真假公主
你完蛋了，老铁	游戏结束，老兄！
老兄GG啦(台)	游戏结束，老兄！
老友Game Over喇(港)	游戏结束，老兄！
銅板少年	铜板少年
@春晚2016	2016@春晚
小丑的愤怒	槟榔血
妖妖铃	妖铃铃
妖妖零	妖铃铃
玲姐大闹萌贵坊	妖铃铃
铃姐大闹萌贵坊	妖铃铃
风送滕王阁	滕王高阁临江渚
凡尘山门	山门
禁视	我的二重身
唔黐线唔正常	唔痴线唔正常
黄子华栋笃笑唔黐线唔正常	唔痴线唔正常
欢笑中国 2017年东方卫视鸡年春节联欢晚会	春满东方
2017东方卫视春晚	春满东方
飞火流星	遇见你真好
亲爱的冤家	我是你妈
以青春的名義	以青春的名义
以青春的名义爱你	以青春的名义
最後的詩句	最后的诗句
濁流	浊流
公视人生剧展「无敌战舰协和号」	无敌战舰协和号
乳房	乳。房
赛尔号6圣者无敌	赛尔号大电影6：圣者无敌
赛尔号大电影6	赛尔号大电影6：圣者无敌
八步半喜怒哀樂	八步半喜怒哀乐
麥呆的劈腿日記	麦呆的劈腿日记
结婚那点事之后	为爱担当
星际炮兵团;护花使者	星际炮兵团之护花使者
大君主之役(港)	霸主
霸王行动	霸主
君主	霸主
大君主行动	霸主
虚拟情人Ⅱ	虚拟情人2
初戀日記：賤男蜜擾	初恋日记
初恋日记：贱男蜜扰	初恋日记
金钱与爱情	江湖儿女
灰烬是最洁白的	江湖儿女
放浪记	心火2017
子归	婴灵奇谭
醒醒吧1	醒醒吧之大师
醒醒吧，XX	醒醒吧之大师
醒醒吧xx	醒醒吧之大师
青少年精神	少年追梦情
王皓去哪儿了？	一路癫狂
草原往事之弓马啸西风	弓马啸西风
醒醒吧2	醒醒吧之道德骑士
醒醒吧3	醒醒吧之跟风者
风雨江湖	狂隐剑
雄霸古惑仔之龙出江湖	龙出江湖
深圳故事之无关风月	深爱十年
3D电影昆曲《景阳钟》	景阳钟
西厢记3D	西厢记
3D电影越剧《西厢记》	西厢记
江湖风云之麻将街娃	麻将街娃
心理警示录之双面人	心理警示录之看见恶魔
无痕成长	不留痕迹
叶落无痕	不留痕迹
湖南卫视2009成人礼盛典	2009成人礼盛典
死亡营救之哥哥篇	哥哥
无人返还	无人返还之远洋大逃杀
远洋大逃杀之无人返还	无人返还之远洋大逃杀
成都恐怖故事之尸解游戏	杀戮游戏
尸解游戏	杀戮游戏
蛋囧	雏盗
三重门电影版	青春演绎
女法医手记(下)	女法医手记之最后真相
心理警示录 大赌徒	心理警示录之大赌徒
美人清除计划	圈养女主播计划
末世国货	末世家园
时间猎杀者	时间·猎杀者
中国天问	神州天问
天师之九转轮回盘 第一部下	天师之九转轮回盘（下）
大唐秘史之大唐快递侠	大唐快递侠
《大逃杀2017》	循环绑架
五十八座半	五十八座·半
五十八座半	五十八座·半
鹦哥岭，最后一枪	鹦哥岭之盗猎禁区
报仇	报复
男狐聊斋2	男狐聊斋2兰若寺
不一样的美丽锦州	美丽锦州
自古蓝白出CP	拜托！别黑我！番外
漆黑的走廊尽头	邪恶宿舍夜惊魂
黑暗走廊惊魂	邪恶宿舍夜惊魂
沉入暗黑走廊	邪恶宿舍夜惊魂
一个杰克这样的孩子	孩童杰克
西游之天蓬元帅	西游记之天蓬元帅
不分手大师	脱轨男女
无人入睡	七星期
大富翁	一出好戏
诳想曲	一出好戏
猜猜我是谁	巨额来电
反诈风暴	巨额来电
第七届金鹰电视艺术节颁奖典礼	第24届中国电视金鹰奖颁奖典礼
岗山姐妹恋	岗山恋
想恋爱	岗山恋
非孕私生活(台)	私人生活
不育私生活(港)	私人生活
七把枪	7把枪
whisper偷偷跟你說	偷偷跟你說
梦想心乐章(台)	超乎想象
想更认识你(港)	超乎想象
小兔子有颗玻璃心电影版	愤怒的兔子
选美计之双生天娇	选美计：双生天娇
如影随形	她在身后
若兰	她在身后
七娃抓妖记	七娃捉妖记
血路	血战漫川关
康胡黄白之鸡飞狗跳	鸡飞狗跳
皇家酒店的悲惨时光	皇家酒店谋杀案
坏事大饭店(台)	皇家酒店谋杀案
贼眉贼眼大酒店(港)	皇家酒店谋杀案
血，沙子和黄金	金沙血
角頭2：王者再起	角头2：王者再起
跑吧！兄弟	家政侦探社
谁也别想睡觉	能动手别吵吵
灵界基友2	灵界基友2床仙
灵界室友2	灵界基友2床仙
床仙	灵界基友2床仙
老人与狗	忠爱无言
老人和狗	忠爱无言
殺出龍門客棧	杀出龙门客栈
幽浮檔案(台)	幽浮档案
佈局者	布局者
書劍	书剑
鬼網	鬼网
山村古宅	古宅
我的情敵女婿	重新爱你
百星贺囍2018	重新爱你
我的情敌女婿	重新爱你
新僵屍先生2	新僵尸先生2
红月亮花灯	红月亮之武陵山歌
L風暴	反贪风暴3
私人會所	私人会所
霸道爱情	霸道爱情之恋上灰姑娘
原罪	大嫂
全力的游戏	荒山心野之七日
CCTV10文史探秘：畅享水边美味	畅享水边美味
小戏骨：降妖记	小戏骨降妖记
花木兰前传	花木兰传奇
花木兰传说	花木兰传奇
入梦师	入梦师：觉醒
无声绝境(港)	寂静之地
噤界(台)	寂静之地
静地	寂静之地
死神游戏：TRUTH OR DARE(港)	真心话大冒险
被遗忘的幸福(台)	他们有什么
行动代号：特工EX(港)	我的间谍前男友
老娘也要当间谍(台)	我的间谍前男友
抛弃了我的间谍	我的间谍前男友
衰兄囧弟	岛国狂想曲
时间浪人之爱你一大跳	时间浪人
合伙人	奔跑吧
警告射击	鸣枪警告
示警	鸣枪警告
赌神2017	废柴赌神
摇滚老爸	摇滚吧！老爸
江海渔童	江海渔童之巨龟奇缘
牧師的秘密行動(台)	牧师
我爱我家电影版	我爱我家
天师救僵	生化药尸
万有坏坏力	九里达
世外桃源	黑白照相馆
末法时代	驱魔天团
黑警	嗜好
床3之他和她的关系	熟悉的陌生人
床3	熟悉的陌生人
床上关系3	熟悉的陌生人
勘玉钏(京剧)	勘玉钏
我和爷爷	屋顶上的猫
超能宅男	魔法王座之超能宅男
特有种部队	合金战队
魔游记	魔游纪3：天都暗潮
老屋(港)	老房子
老宅(台)	老房子
老房(日)	老房子
六月雷声有点大	漂浮
魔游记	魔游纪4：白骨之姬
魔游记	魔游纪5：宿命之争
魔游记	魔游纪6：一瞬决战
《失恋33天》群像	失恋侯群症
雪镜男神	嘶吼青春之我的雪镜男神
毒辣	忍无可忍
骄傲玛丽	骄傲的玛丽
终结行动	最终行动
终极行动	最终行动
功夫大联盟	功夫联盟
53号白公馆	53号白公馆之双生姐魅花
天使怎么了(台)	天使降临
极速杀手	极速杀机
古惑仔之社团风暴	江湖之社团风暴
一路前行3(台)	佐州自救兄弟3
杀无赦I	杀无赦I入局
杀无赦1	杀无赦I入局
瀏陽河	浏阳河
我的危险妻子中国电影版	我的危险妻子
贴背战(台)	抓人游戏
标签	抓人游戏
甜心主播	甜心主播大作战
ひょうたん奇譚の六ドールの秘密 （日）	葫芦奇谭之六娃的秘密
Hi，大妞	虎色虎香
聊斋之玄夜狐影	玄夜狐影
梦境夺命	控梦师
特种人类	异能者2
我想要你记得	我想要你记得＿
爱之墙	我想要你记得＿
菊花岛漂流记	米花岛漂流记
让我把话说完	长谈
长谈：让我把话说完	长谈
钟馗外传	钟馗传奇之岁寒三友
成都僵尸	成都异闻录之僵尸直播
明镜火拍	测试求通过，之后自己删
明镜火拍	测试求通过，之后自己删
扬州八怪之风云乱扬州	风云乱扬州
扬州八怪之乾隆痛失郑板桥	乾隆痛失郑板桥
扬州八怪之情断莲花庵	情断莲花庵
将界十日诀	将界十日决
将界·十日决	将界十日决
玫瑰玫瑰我愛你	玫瑰玫瑰我爱你
李宗瑞	有罪
歌手2017巅峰会	歌手：十全十美巅峰会
天路将军慕生忠	天慕
携创第一部微电影	守护天使
资江双侠大破地狱门	资江双侠
重返1997	重返一九九七
谈梦九七	重返一九九七
御宅笔记	闺蜜的正确打开方式
天安社之义字当先	兄弟之义字当头
三只小猪与功夫潘达	三只小猪2
姐就是美(台)	超大号美人
美丽爱自信	超大号美人
自觉美丽	超大号美人
人家美着呢(豆友译名)	超大号美人
三只小猪3	三只小猪与四十大盗
業子	业子
浅喜深爱	住在隔壁的女孩
我们曾经年轻过之味道	原味校花恋上我
梦想公园	超级疯狂
废话少说	陈翔六点半之废话少说
2011年环球小姐华彬大赛	2011环球小姐中国区总决赛
割喉蚊2：尸蚊	阴间蚊子2：爬出乱坟岗
过河入林	彼岸林海
杀手李昂	杀手如花
冥中注定我愛你	冥中注定我爱你
不死男友是血族	爱上吸血鬼
杀人游戏夺命骷髅	杀人游戏之夺命骷髅
007之杀人游戏夺命骷髅	杀人游戏之夺命骷髅
罗拉快跑中国版	罗拉快跑
华氏451度	华氏451
释青春之青春梦	释青春2
听说马伟今天来	女人是男人的未来
弑神之英雄崛起	弑神之英雄觉醒
清醒梦	清醒梦之马桶睡美人
15:17 巴黎列车(台)	15点17分，启程巴黎
15时17分，启程巴黎	15点17分，启程巴黎
15:17开往巴黎	15点17分，启程巴黎
15点17分到巴黎	15点17分，启程巴黎
列车危情	15点17分，启程巴黎
巴黎列车剿恐记	15点17分，启程巴黎
王撕葱相亲记	相亲风云录
特殊使命	拯救计划
VR隐秘爱人	隐秘爱人
一天一夜	一天零一夜
漫长愚蠢之路	漫长的沉默之路
京剧猫大电影	京剧猫
大喜当头(台)	疯狂婚礼周
那一周	疯狂婚礼周
李白的耳朵	盗听者
第7秒	第7秒营救
百家碎戏 无言的爱	无言的爱
星厨驾到 第四季	鲜厨当道
神厨归来之驴肉火烧	驴肉火烧
大多头：天空才是尽头	大多头之股民的名义
秘爱	恶魔总裁的契约情人
归路	赎字街头
超级北京人	少女擒兽记
青春日记	麻辣学院
宝岛青春日记	麻辣学院
超级代课老师	麻辣学院
上帝保佑坎坷的旅途	上帝保佑破碎的道路
少年包青天Q版动画	少年包青天
和平西桥	和平里之夜
三個綁匪七條心	三个绑匪七条心
3個綁匪7條心	三个绑匪七条心
海人魚	海人鱼
海。人。魚	海人鱼
薄荷殺姬(港)	薄荷
血薄荷(台)	薄荷
薄荷杀手	薄荷
读书俱乐部	读书会
高年级姐妹会(台)	读书会
Bloody fight the Island，血战打渔岛	爱国岛
不死鸟	消失的妻子
笼中嬲	奇葩三人行
仙医神厨3上海任务	仙医神厨3
宝贝	宝贝儿
青春年华	那些年
陇东刀客之悍匪围城	悍匪围城
陇东刀客之智谋销烟	智谋销烟
陇东刀客之浴血护镖	浴血护镖
杀人启事	画师
2次初恋	二次初恋
遇见另一个你	一分二
超感八人组	超感猎杀：完结特别篇
超感8人组	超感猎杀：完结特别篇
211紧急呼救(台)	代码211
代码二一一	代码211
二一一	代码211
第二季	中国功夫史
第三季	中国功夫史
人人有功练	中国功夫史
完全邪恶指南(台)	极恶之地
OFFRANGE 橘子	亚男亚女睡前故事
失踪节选A	失踪节选
窒息的河流	窒息河流
皮囊	皮肤
你是我兄弟3	你是我兄弟巅峰决战
~風来坊シリーズ~	野花
曼森家族	查理说
爱慕之旅	胡杨的夏天
割喉蚊3：猛兽的蚊子	阴间蚊子3：等待猎物
爱慕	情人
如何拯救	拯救·欲望都市
御前厨神-满汉全席	御前厨神
结婚前夜	直到世界的尽头
第54屆金馬獎頒獎典禮	第54届金马奖颁奖典礼
第54届台湾电影金马奖	第54届金马奖颁奖典礼
再见奥特曼	钢铁飞龙之再见奥特曼
钢铁飞龙大电影	钢铁飞龙之再见奥特曼
秋野·春潮	秋野春潮
误会啦爸爸	误会啦
妈妈咪呀！2	妈妈咪呀2
妈妈咪呀！回来了(台)	妈妈咪呀2
妈妈咪呀！开心再嚟(港)	妈妈咪呀2
妈妈咪呀2：再次出发	妈妈咪呀2
妈妈咪呀：重蹈覆辙	妈妈咪呀2
梵高.永恒之门(港)	永恒之门
梵谷：在永恒之门(台)	永恒之门
在永恒的门口	永恒之门
在永生之门	永恒之门
偽婚男女	伪婚男女
还是一家人	伪婚男女
绝色行动之克隆特攻	克隆特工之极限对决
黑客法则：变色龙军团	黑客风云
另一个她	在剧场
马达的情书	情书
白发红皮书	情书
蓝翔传奇-蓝领之王	蓝翔传奇
耍宝太君2：占山为王	耍宝太君2
遗城-鹰眼猎人	遗城
喵酱大人	猫妖传奇
豪门少爷的宠物情人	猫妖传奇
台北物語	台北物语
愤怒的鸭子	妙先生之愤怒的鸭子
笔仙VS伽椰子	笔仙咒怨
霾后余生之末日狂花	血姬传
情迷直播室	宅男爱上她
呼啸青春	那一场呼啸而过的青春
那一场呼啸而过的青春电影版	那一场呼啸而过的青春
支援女孩	支持女孩们
镜相人	镜像人·明日青春
幼稚園老師(港)	幼儿园教师
妈妈和宗宪(台)	妈妈和宗宪
幻乐一场	王菲：幻乐一场
大公司之疯狂的豆子	疯狂的豆子
大话西游前传	悟空前传
风华昭雪美人图	美人图
赶尸惊魂2	邪王重生
天池夕阳下	温暖如故的日子
绿簿旅友(港)	绿皮书
绿书	绿皮书
草木惊心	惊弓之鸟
主播学院	主播军团2：主播学院
主播社团	主播军团3：主播社团
極闘4暴殺令	极斗4之暴杀令
纯爱游戏	女神解码器
無聊電影	无聊电影
西安城外	长安外
拯救明天	时间牢笼
葛洛利亚	葛洛利亚·贝尔
尸人保姆2	妈妈2
紫色纽约(台)	紫色纽约
娜娜的一天	娜娜
姚子青	捍卫者
幸福谷	帕特诺
追钱逗爱熊仁镇	欢迎来到熊仁镇
超时空女神	一路狂花
终极任务	忏悔
恐怖创世神	死亡事3：电梯
爱的过去进行式(台)	致所有我曾爱过的男孩
結婚禁行曲	结婚禁行曲
我永远的女孩(台)	永远是我的女孩
时弦  第一章：末世起点	时弦
爱情缘规律之咏春女孩	咏春女孩
猎兽少女	猎兽少女队
小娘们	小女人
抹去的男孩	被抹去的男孩
狂屠绝路(港)	曼蒂
曼迪	曼蒂
不二女警之网红计划	功夫宅男之绝版女神
之墓野迷踪	诡宅丽影
诡宅丽影之墓野迷踪	诡宅丽影
逃不出的诡宅	诡宅丽影
风	风在追
烦恼	风在追
青春热之恶魔软妹帮	恶魔软妹帮
杜蕾斯的爱情生活	杜蕾的爱情生活
大象林旺	大象林旺之一炮成名
东白湖	嗨
不能唤醒的爱	三生三界情人劫
° 有意话续集》	《人形物
《人形物24小时全记录》	《人形物
王伯祥	王博祥
父亲2017	父亲
黄金七十二小时	黄金兄弟
新古惑仔	黄金兄弟
新版古惑仔	黄金兄弟
江湖	大侠
每，一天(台)	每一天
逆天侠盗团2千面贼王	逆天侠盗团2：千面贼王
下課前一分鐘	下课前一分钟
《觅谜》	觅谜
最后的告白三部曲	最后的告白
初吻中国版	初吻
扮工室上位攻略(港)	抱歉打扰
起底組	起底组
老陳和小鬼	老陈和小鬼
马纳小镇市集的鬼	老陈和小鬼
燃青春之旋风辣妹	旋风辣妹
西域列王纪电影版	西域列王纪
云水之旅	云水
控烟英雄	未了的心愿
简单帮个忙	一个小忙
举手之劳	一个小忙
失踪网红(台)	一个小忙
小心帮忙(港)	一个小忙
我是猎妖师 第二部	我是猎妖师2
包夜	包宿
香君诀	片甲不留
名将	片甲不留
极品屌丝	我的神秘女友
突出部之役	仙境
裂缝	空间裂缝
凸槌特派员3(台)	憨豆特工3
特务戆J：神级归位(港)	憨豆特工3
憨豆特工再出击	憨豆特工3
伊丽莎白收获	收割伊丽莎白
火的考验	凭火决狱
搖滾樂殺人事件	摇滚乐杀人事件
刺激人生：乘風	刺激人生：乘风
刺激人生：追風	浅爱
刺激人生：逆風	刺激人生：逆风
刺客后传系列之鱼肠剑	鱼肠剑
街頭祖霸王(港)	德鲁大叔
心·迹 敦煌	行走的力量
辽大毕业纪念电影	钟
隆尧浪漫的人	魅力隆尧浪漫的人
我的同事桔梗先生	流逝
我的雪镜男神	我的魔镜男友
杀不死	特攻杀阵
小寡妇成仙记	北方一片苍茫
鱼龙勇士2之深海捕鱼大赛	鱼龙勇士2
民国灵异录	新聊斋之僵尸新娘
滚蛋回家	下半城风云
回归1997	归来1997
我是坏人2017	我是坏人
明星计划	迷魅北京
青春热之超隐形男友	超隐形男友
馬里博爾起義現場：這是一部互動式電影	马里博尔起义现场：这是一部互动式电影
与君相恋100次中国版	与君相恋100次
小燕子和他	山无棱天地合
我的同桌是极品2变身无敌	我的同桌是极品2
胡子小姐与裙子先生	来一达麻花
醉佳导演	“醉”佳导演
老师别闹	“醉”佳导演
平妖之如意天书	平妖传
猎灵技师	灵犀效应
死循环	逃不出的情人节
二流太傅之赤霄剑	二流太傅
旋风少女电影版	旋风少女
灵魂当铺	灵魂当铺之时间典当
巡楼人	巡楼人之舞灵
舞灵	巡楼人之舞灵
假如比尔街能说话	假若比尔街能够讲话
鸟包大行动(台)	我的宝贝在哪里
玩意儿	我的宝贝在哪里
为奴隶的母亲	典妻
第一季	王者历史课
愛情奴隷獸	爱情奴隶兽
我们的6E班	6E班
红衣	红衣诡村之幻·谜
侧耳倾听	侧耳倾听3
大奖	乌龙大奖之亡命穷途
如父	虎父无犬女
桃出天际	天上人间
物去	上了
僵尸族崛起	僵尸族的崛起
家在蘭若寺	家在兰若寺
奪命追兇	夺命追凶
三年高考	五年模拟
无名镇杀人录—刺狐	刺狐
幼兒怨	幼儿怨
好鬼两个半II之鬼王争霸	好鬼两个半2鬼王争霸
怦然心动的节拍(台)	心跳砰砰响
疯人院(台)	失心病狂
疯·魔(港)	失心病狂
荒诞	失心病狂
表演者	失心病狂
鸟箱	蒙上你的眼
藍色項圈	蓝色项圈
顺德人家	顺德人家之合家欢
天师救僵	生化药尸
罪途1	罪途1之死亡列车
罪途I之死亡列车	罪途1之死亡列车
罪途之死亡列车	罪途1之死亡列车
找寻	追
最美的風景	最美的风景
异能情人	预言家请睁眼
自杀小队：惨痛代价	自杀小队：严厉惩罚
宵闇真珠	白色女孩
二龙湖浩哥之乱世豪情	乱世豪情
箫魂传之上古神器	箫魂传2上古神器
千颜总集篇 我只要你能获得幸福	狐妖小红娘剧场版：千颜
我的禮物	我的礼物
GROUP第四届偶像年度人气总决选演唱会	“我心翱翔”SNH48
悲伤逆流成河电影版	悲伤逆流成河
隐隐惊马槽	隐隐惊马槽之决战女僵尸
逆生	逆生·致亲爱的小孩
逆生：致亲爱的小孩	逆生·致亲爱的小孩
高人之花之语	高人
彬彬教授-许我爱你	许我爱你
黑白世界的音符	过往的梦
玩謝大師	玩谢大师
玩谢大作家	玩谢大师
灵狐圣子1	灵狐圣子1：圣子出世
圣士提反	某日某月
日月星	某日某月
天降横财之鬼算子	鬼算子
衰兄囧弟	岛国狂想曲
盜命師	盗命师
時光	时光
阿科桑蒂	亚高山地
羅馬尼亞來的人	罗马尼亚来的人
摧毁者	无间炼狱
17岁半	了不起的高二八班
十七岁半	了不起的高二八班
慌枪走板	无名之辈
聖荷西謀殺案	圣荷西谋杀案
桂湖之夏	毕业初体验
被嫌弃的我之桂湖交响乐	毕业初体验
恐怖创世神2：梦眼	死亡事
月黑风高潮	月黑风高夜
血觀音	血观音
修罗花	血观音
洞窥媚香	深宅谜影
深宅迷影	深宅谜影
灵狐圣子2	灵狐圣子2：仙山大战
功夫机器侠·北腿	功夫机器侠之北腿
满地黄花	我的警察爸爸
天下足球托蒂退役专辑	狼图腾：一人一生一座城
鸡毛系列	鸡毛梦想
以为是老大之金三角风云	以为是老大II金三角风云
以为是老大2金三角风云	以为是老大II金三角风云
誰先愛上他的	谁先爱上他的
套路之王	美人套
超级河南人	美人套
追梦骑士	骑遇
智齒	智齿
那些年的我们	瞬爱
Instant Love（英）	瞬爱
时空三部曲第一部：时空送货人	时空送货人
荒野之花	风回路转
旅游结婚	终点的婚礼
婚礼冤家(台)	终点的婚礼
錯位	错位
不老心房之陆老慧心	不老心房
师徒乐之二擦汽车	擦汽车
揣梦红楼梦	红楼梦之萌娃演绎大观园
刘姥姥进大观园	红楼梦之萌娃演绎大观园
红楼梦之最萌刘姥姥	红楼梦之萌娃演绎大观园
让世界看见你	这一刻，我要世界看见
你是我兄弟2	你是我兄弟之牌王
人	漂泊的人
白日梦	白日做梦
口袋宇宙	超时空同居
粉丝答谢演唱会	快乐男声2017
齐天大圣万妖之城	齐天大圣·万妖之城
辣警霸王花2不义之战	辣警霸王花2
時光理髮	时光理发
春天读诗之夜：我们的心又合法健康地淫荡起来了	春天读诗之夜
2017春天读诗之夜：远方诗人的来信	春天读诗之夜2017
鸭酱	鸭油
暗魇迷宫(台)	暗魇迷宫
墨色丁香	墨色·青春
黑暗中的星光	你给的仇恨
你的敌意	你给的仇恨
谜踪	找到你
爱在选举夜	洛城一夜
6年，6天	六年，六天
最后一次在爱达荷	谋杀预想
猛虎嗅蔷薇之舞盗团	猛虎嗅蔷薇之舞“盗”团
建国大案之一级戒备	反特大案之一级戒备
建国第一大案之一级戒备	反特大案之一级戒备
西河口秘闻	西河口秘闻之无头新娘
我的青春岁月	我们的青春岁月
藏地密码电影版	藏地密码
數到十，讓我變成沈曉旭	数到十，让我变成沈晓旭
赢在昨天	庄家
- 頭文字B	頭文字D外傳
与狗狗一起生活	狗狗之日
即时家庭	速成家庭
京城怪谈之水箱迷案	京城怪谈之水箱谜案
震荡	京城怪谈之水箱谜案
造梦机器	造梦大师
房事	房子与狗
生死劫难	囚禁空姐
浮世经验	北国之春
看見你便想念你	看见你便想念你
末栈第一部	末栈之怪笔新娘
秦时明月之端木蓉特别篇	秦时明月之医者入世
狼人杀之电台风波	狼人杀
电影少年悍将GO！(台)	少年泰坦出击电影版
老木匠-郁庭茂	老木匠
婚姻多少钱一斤	疯狂的彩礼
鬼狐传说·聂小倩	倩狐传
重返人间72天	72天搞定你
金羊毛	大象席地而坐
爱在樱花盛开时	大象席地而坐
血拳	爆裂拳师
茶缸里的女孩	养诡
西游记后传电影版	西游记后传
西游记之斗战胜佛	西游记后传
大山里的曙光	山的那一边
侦探.豆腐貂蝉	豆腐貂蝉
衝組	冲组
JU部入侵计划	局部入侵计划
第37屆香港電影金像獎頒獎典禮	第37届香港电影金像奖颁奖典礼
机器情人2之野蛮女管家	机器情人之野蛮女管家
熊出没5	熊出没·变形记
熊出没大电影5	熊出没·变形记
花甲大人轉男孩	花甲大人转男孩
花甲男孩转大人 电影版	花甲大人转男孩
喜迎党的十九大胜利召开特别节目	壮丽航程
十四个摄像头	监控惊魂
班恩回家(台)	本，回来了
本回来了	本，回来了
恐怖创世神3：小丑梦魇	死亡事2：小丑
时代狂人	人间·喜剧
初生牛犊	丛林历险记
吴山居事件账之蚌人	沙海番外之蚌人
黄飞鸿之王者归来	王者归来黄飞鸿
福建海洋人文三部曲之《回潮》	回潮
戏瘾症	戏隐江湖
蓝理将军	海之战
保罗，基督使徒	使徒保罗
末路爱侣	末日
为何结束	末日
末路	末日
0722：极右挪威(台)	挪威7·22爆炸枪击案
7月22日：当挪威不再挪威(港)	挪威7·22爆炸枪击案
7月22日：挪威爆炸枪击案	挪威7·22爆炸枪击案
7月22日	挪威7·22爆炸枪击案
冒牌监护人	冒牌监护人之寻宝闹翻天
我是神	恐怖创世神：起初
九號战船	深海巨妖
PG戀愛指引	恋爱之瘾
PG恋爱指引	恋爱之瘾
粤剧柳毅奇缘	柳毅奇缘
柳毅传书	柳毅奇缘
樂獄	乐狱
樂獄男孩	乐狱
恐怖邻居	帅哥要提防
邻里噩梦	帅哥要提防
毒蛇女杀手	蛇女杀手
王蛇杀手	蛇女杀手
割喉蚊	阴间蚊子
分隔线	过春天
佩佩	过春天
红缎	血缎惊瞳
神仙也疯狂	卷帘君下凡那些羞羞事儿
2017天猫双11晚会	2017天猫双十一狂欢夜
房门未关	敞开的房子
罪人与圣人：复仇	罪人与圣人2：清算日
我和叛徒老爸	我和“叛徒”老爸
一去不再来	伊犁河
江城迷案	江城谜案
蝶影之惊魂	蝶影惊魂
将军在上番外篇第二部	将军在上之时空恋人
将军在上番外篇第一部	将军在上之极乐净土
洩密者們	泄密者
泄密者们	泄密者
入鐵籠	入铁笼
将军在上番外篇第二部	将军在上之芙蓉密案
割喉蚊第四代：终章	阴间蚊子4：最终完结篇
高三那年	高三档案之消失的学姐
余罪番外之致命线索	致命线索
大東門龍虎	大东门龙虎
黄花梁上的灰猴们	灰猴
新世代小英雄(台	未来机器城
港)	未来机器城
次世代伙伴(新)	未来机器城
暴走吧！失忆超人	未来机器城
大師兄	大师兄
我的老师是拳霸	大师兄
帝皇酒店	帝国酒店
非洲遇见香奈儿	非洲遇见你
那一片栀子花	十爱
战境	战境：火线突围
不骗你骗谁	不欺不遇
鬥魚	斗鱼
斗鱼电影版	斗鱼
101次相亲	恋爱合约
冼夫人·浩气英风	冼夫人之浩气英风
玩命追击	玩命
不作不会死	四奇士和美女们
最后的锦衣卫-鸡缸杯	最后的锦衣卫
康巴之心	剑拔藏地
皇粮	粮道
人工智能之神经元	觉醒：仿生浩劫
西游之天蓬归来	天蓬归来
白日漫游	漫游
时间遗墓	时间遗墓1：九龙解棺
蝶影系列	蝶影之灾
易家相法	天瞳眼
童年周恩来	薪火相传
雪葬	雪·葬
舞可能	舞动青春之女子天团
鬼探风云	诡探风云
地球最后一个硬汉	末日硬汉
滑板少女	滑板厨房
紅塵梵谷	红尘梵高
进击的盖仑	最强王者
北海食神之面摊拯救计划	北海食神
偷换人生	嫌疑者说
死亡迷宫之时空裂缝	死亡迷宫2
救援之路	猎刃归途
猎刃雇佣兵	猎刃归途
杨家将七郎八虎之杨五郎血战青盐镇	杨五郎血战青盐镇
翠絲	翠丝
聊斋之九州伏魔录	捉妖战记
上海1948	天落水
三只虫草	少年桑吉
陈鸿宇巴士巡演纪录片	行歌·年轻人
喧哗至上	再见路星河
圣蛋传奇	圣蛋传奇之猪公的骰子
猪公的骰子	圣蛋传奇之猪公的骰子
