杨梓航,,盛志民,30338495,,,,中国大陆,,冲撞,,2018
"周迅,陈建斌,窦靖童,春夏,大鹏",,陈建斌,30279836,汉语普通话,,,中国大陆,,如是你闻,"剧情,喜剧,家庭",2018
"郑秀文,佟大为,蔡卓妍,林嘉华,谭耀文",2018-12(香港),潘源良,27110314,粤语,,,香港 / 中国大陆,,圣荷西谋杀案 聖荷西謀殺案,"剧情,悬疑,犯罪",2018
,,许鞍华,27102476,汉语普通话,,,中国大陆,,第一炉香,"剧情,爱情",2018
"王真儿,周柏豪 ,罗伯特·克耐普,张丹妮,Alina,德福,王蕊,李子游,黄芳翎,金士哲,陈缨鑫",2018-12(中国大陆),吴奇,30324884,汉语普通话,,,中国大陆,94分钟,禁锢之地,"悬疑,犯罪",2018
,,,30242188,汉语普通话,,,中国大陆,,百家讲坛国史通鉴第五部：隋唐五代篇,历史,2018
,,罗嘉昊,30291181,汉语普通话,,,中国大陆,,勇气物语,,2018
"宗平,姜昆",,米夏埃尔·贝尔,30282847,汉语普通话,,,中国大陆,124分钟,美丽的蓝色多瑙河,"音乐,歌舞,戏曲",2018
,,陈爽,30367761,,,,中国大陆,16分钟,呱呱,,2018
,,赵刚,30367763,,,,中国大陆,30分钟,结缘,,2018
"孔晏兮,杨正宝,许焱磊,周梦竹,谷一盈",2018(中国大陆),郝晨明,30378703,汉语普通话 / 粤语 / 吴语,,,中国大陆,35分钟,北地胭脂,,2018
"陆恩馨,胡盛,张冬,林永炬",2018-12(中国大陆),麦扣陈,30393838,汉语普通话,,,中国大陆,82分钟,替嫁新娘,爱情,2018
朱珠,,,27026128,英语,,,中国大陆,,罗拉快跑,,2018
"孙浩然,薛小冉",,田少波,30361966,汉语普通话,,,中国大陆,85分钟,广东十虎铁桥三之王者峥嵘,"剧情,动作,武侠,古装",2018
,,艾斯 Ashes,26931199,汉语普通话,,,中国大陆,,她和她的猫,剧情,2018
,,李克什,30335627,日语,,,中国大陆 / 日本,,死去的川莲和他的摇滚,剧情,2018
"赵闪闪,杜学成,郑晓勇,江兰萱,李默兰琦,粟军,杨润,陈康,邓安东",2018(中国大陆),昆丁,27608299,汉语普通话,,,中国大陆,96分钟,封门笔仙,"惊悚,恐怖",2018
"郑中基,黄子华,陈法拉,许维恩,冯文娟,李灿森,赵硕之",2018(中国大陆),"陈嘉上,郑中基",25806653,汉语普通话,,,中国大陆,,神秘宝藏,喜剧,2018
陆培,,陆培,2988974,普通话/国语,,,中国大陆,,玩偶,"悬疑,惊悚,黑色电影",2018
"彭禺厶,何其炜,戴安娜,张德晖",2018(中国大陆),代艺霖,30201069,汉语普通话,,,中国大陆,90分钟,宝塔镇河妖之黄泉妖龙,"喜剧,冒险",2018
"余少群,王心凌,谭佑铭,杨玉梅,胡夏",2018(中国大陆),张坚庭,26667275,汉语普通话,,,中国大陆,100分钟,我想静静,喜剧,2017
,,,26873070,汉语普通话,,,中国大陆,,悟空传,"动画,奇幻",2018
,,,26590074,汉语普通话,,,中国大陆,,龙族,"动作,奇幻",2018
,,,26816369,汉语普通话,,,中国大陆,,摆渡人2,剧情,2018
"张咏娴,黄盛量,张弛 Chi Zhang,张驰",,"周三省,周重阳,肖宇杭",26789821,汉语普通话,,,中国大陆,60分钟,欲望森林,剧情,2018
,2018(中国大陆),孔笙,26671336,汉语普通话,,,中国大陆,,命运谷之决胜宜昌,"剧情,战争",2018
"张艺兴,郑秀晶,王一博,朴仁焕,天心",2018(中国大陆),成时翕,26640100,韩语 / 汉语普通话,,,韩国 / 中国大陆,,闭嘴！爱吧 비연,"喜剧,爱情",2018
"娜塔莉,周玲",2018-12(中国大陆),鹏少,27173222,汉语普通话 / 英语,,,中国大陆,,洛浠的森林,"剧情,冒险",2018
"任素汐,李岷城",,李骥,27624665,,,,中国大陆,,春天在哪里,,2018
"魏征,罗腾腾,冯福珍,刘银伟,仝雅宁,徐建斌",,魏丹,30351572,汉语普通话,,,中国大陆,106分钟,母腹之外,剧情,2018
"张斌,龙秀丽,柴立鹏,张建宗,马腾,谢添",,刘晓东,30304057,汉语普通话,,,中国大陆,80分钟,幕间休息,"剧情,恐怖,奇幻",2018
"吴文,尹恒,姜明月,李川江",2018(中国大陆),"马雍,阿潘",26779537,汉语普通话,,,中国大陆,95分钟,傻儿夫妻小神郎,"喜剧,爱情",2017
"王宥钧,靳锦,刘名凯,黄子星",2018(中国大陆),毕基,27176026,汉语普通话,,,中国大陆,90分钟,厨霸江湖,"喜剧,动作",2017
"刘之冰,颜丹晨",,马会雷,30214071,汉语普通话,,,中国大陆,,又是一年三月三,剧情,2018
,2018,,26426329,汉语普通话,,,中国大陆,,封神道：哪吒闹海,"动画,奇幻",2018
